snapshot_id,coingecko_id,token_symbol,decision_ts,price_usd_t,volume_24h_usd,market_cap_usd,market_cap_rank,ath_change_percentage,price_change_percentage_30d,positive_90d_return,invest_score,decision
bitcoin_2025-10-20,bitcoin,BTC,2025-10-20T00:00:00Z,108655.50525004532,45408363377.72644,2165876768810.395,1,-12.89428412914292,-6.053627408409201,0,46.43,Skip
bitcoin_2025-10-27,bitcoin,BTC,2025-10-27T00:00:00Z,114419.22169689646,42750060282.16964,2282298627073.1055,1,-8.273693151960071,4.339623905192158,0,39.38,Skip
bitcoin_2025-11-03,bitcoin,BTC,2025-11-03T00:00:00Z,110499.52238345638,36196258871.740746,2206951286346.512,1,-11.415993341076014,-9.645046260228174,0,42.92,Skip
bitcoin_2025-11-10,bitcoin,BTC,2025-11-10T00:00:00Z,104610.22853607994,60194546960.33833,2088246864454.0945,1,-9.213460434810495,-7.460344210094593,0,41.29,Skip
bitcoin_2025-11-17,bitcoin,BTC,2025-11-17T00:00:00Z,94188.27668924726,72739120446.02757,1879821625636.488,1,-17.68142162445592,-11.546924686233007,0,56.1,Invest
bitcoin_2025-11-24,bitcoin,BTC,2025-11-24T00:00:00Z,86740.11773876166,60729919440.15148,1731240703090.288,1,-24.190956333769197,-21.876993174954194,0,65.52,Invest
bitcoin_2025-12-01,bitcoin,BTC,2025-12-01T00:00:00Z,90359.86873169734,41014032387.06181,1804580223118.8345,1,-18.226009685245735,-17.52973691512806,0,55.22,Invest
bitcoin_2025-12-08,bitcoin,BTC,2025-12-08T00:00:00Z,90398.44875659447,34924915303.026115,1802958541728.722,1,-14.679403151893267,-12.397605969562775,0,49.45,Skip
bitcoin_2025-12-15,bitcoin,BTC,2025-12-15T00:00:00Z,88184.41093067056,34281959962.42461,1760354230589.3552,1,-7.544256856268994,-6.951589836318107,0,38.5,Skip
bitcoin_2025-12-22,bitcoin,BTC,2025-12-22T00:00:00Z,88672.32967904503,22542141406.091,1769182018548.0688,1,-5.090802083067725,4.21255537175278,0,34.67,Skip
bitcoin_2025-12-29,bitcoin,BTC,2025-12-29T00:00:00Z,87867.03943448896,17379845114.74183,1753776420254.8835,1,-5.952733324502201,-3.3417663065860803,0,34.74,Skip
bitcoin_2026-01-05,bitcoin,BTC,2026-01-05T00:00:00Z,91879.5772256957,26083966420.127327,1834987309777.0288,1,-0.8701701329264844,2.9298948700963168,0,28.62,Skip
bitcoin_2026-01-12,bitcoin,BTC,2026-01-12T00:00:00Z,90856.55910152226,18738794931.937737,1814830239671.1992,1,-3.2204841791991234,0.6603291572403247,0,31.03,Skip
bitcoin_2026-01-19,bitcoin,BTC,2026-01-19T00:00:00Z,93344.2194849136,21298841865.41941,1864801600128.905,1,-3.6683041143467543,5.962564042252327,0,32.23,Skip
bitcoin_2026-01-26,bitcoin,BTC,2026-01-26T00:00:00Z,86625.33128140382,36938952712.340645,1730823322190.6162,1,-10.60222995015938,-0.7762764798747601,0,44.3,Skip
bitcoin_2026-02-02,bitcoin,BTC,2026-02-02T00:00:00Z,76895.58665593083,48233643712.95648,1536578056063.6562,1,-20.643374495351253,-14.540441987393283,1,61.0,Invest
bitcoin_2026-02-09,bitcoin,BTC,2026-02-09T00:00:00Z,70398.0850329669,40089087531.667786,1407004286702.8896,1,-27.348828285781856,-22.25648504095341,1,70.44,Invest
bitcoin_2026-02-16,bitcoin,BTC,2026-02-16T00:00:00Z,68778.84298479716,40162771612.068054,1374891409746.7566,1,-27.997750366016604,-27.997750366016604,1,71.02,Invest
bitcoin_2026-02-23,bitcoin,BTC,2026-02-23T00:00:00Z,65192.18870120006,21560319889.519894,1303412071350.4219,1,-27.179783388519052,-27.179783388519052,1,68.9,Invest
bitcoin_2026-03-02,bitcoin,BTC,2026-03-02T00:00:00Z,65824.42166938317,38811585997.47521,1316266670911.0593,1,-21.72298059751413,-21.72298059751413,1,62.58,Invest
bitcoin_2026-03-09,bitcoin,BTC,2026-03-09T00:00:00Z,66042.7510790264,30233312686.233253,1320834944584.2002,1,-9.222458043457104,-6.019096822017589,0,43.03,Skip
