snapshot_id,coingecko_id,token_symbol,decision_ts,price_usd_t,volume_24h_usd,market_cap_usd,market_cap_rank,ath_change_percentage,price_change_percentage_30d,positive_90d_return,invest_score,decision
aave_2026-06-08,aave,AAVE,2026-06-08T00:00:00Z,63.64395268465514,198959864.6054217,947371819.8731427,14,-37.61221738214342,-33.59022192012077,1,80.74,Invest
cardano_2026-06-08,cardano,ADA,2026-06-08T00:00:00Z,0.16509315561300406,567070481.0227826,6134863411.879562,6,-41.5519285380529,-39.642055374774706,1,79.15,Invest
litecoin_2026-06-08,litecoin,LTC,2026-06-08T00:00:00Z,42.81144390742129,363743933.6110387,3305146302.033574,8,-29.09244054322083,-26.590599808962867,1,75.55,Invest
arbitrum_2026-06-08,arbitrum,ARB,2026-06-08T00:00:00Z,0.0829539804958359,68575287.8995891,518945294.032799,15,-42.007078926951976,-41.48355005609036,1,74.1,Invest
ethereum_2026-06-08,ethereum,ETH,2026-06-08T00:00:00Z,1687.8826846141703,16062772861.618362,203701307543.392,2,-28.78026569453248,-26.85138217256441,1,73.11,Invest
solana_2026-06-08,solana,SOL,2026-06-08T00:00:00Z,66.42475751544987,3136535778.934595,38480144220.633545,4,-31.698601828326346,-27.80324955195661,1,72.95,Invest
avalanche-2_2026-06-08,avalanche-2,AVAX,2026-06-08T00:00:00Z,6.807537953548277,229731245.91197276,2939304012.9918427,9,-33.44046354300798,-31.29163297040679,1,72.77,Invest
uniswap_2026-06-08,uniswap,UNI,2026-06-08T00:00:00Z,2.5686651733806007,147090660.08834285,1599393655.975186,12,-35.667876126553,-30.766207982070547,1,69.69,Invest
pepe_2026-06-08,pepe,PEPE,2026-06-08T00:00:00Z,2.8148106685632374e-06,214951549.28329524,1184162700.1578684,13,-36.143439005856095,-34.804551698709844,1,66.44,Invest
near_2026-06-08,near,NEAR,2026-06-08T00:00:00Z,2.055810872540087,654286164.4993682,2667625091.316948,10,-27.064830491379567,28.714915967000042,1,65.92,Invest
bitcoin_2026-06-08,bitcoin,BTC,2026-06-08T00:00:00Z,63273.537430635515,33326211424.640003,1267943921370.2615,1,-22.854433021260377,-21.1026263121324,1,64.26,Invest
chainlink_2026-06-08,chainlink,LINK,2026-06-08T00:00:00Z,7.9085060154893645,314050879.3674348,5750274489.972583,7,-26.15635910123766,-23.57468164490878,1,63.27,Invest
polkadot_2026-06-08,polkadot,DOT,2026-06-08T00:00:00Z,0.9722849631078336,111393896.97076644,1640692238.1203973,11,-29.599930372702723,-29.284953250374635,0,60.66,Invest
dogecoin_2026-06-08,dogecoin,DOGE,2026-06-08T00:00:00Z,0.08621559810194002,853856315.6713402,13326130009.996576,5,-25.239567340379885,-21.291807983759938,1,53.23,Invest
ripple_2026-06-08,ripple,XRP,2026-06-08T00:00:00Z,1.1548517514448144,2010546066.5698698,71663056236.51035,3,-22.1044713713866,-18.70914227231062,1,40.65,Skip
