snapshot_id,coingecko_id,token_symbol,decision_ts,price_usd_t,volume_24h_usd,market_cap_usd,market_cap_rank,category,primary_exchange,hist_prices_30d,ath_change_percentage,price_change_percentage_30d,research_notes,news_score,price_usd_t90,return_90d,positive_90d_return
bitcoin_2025-10-20,bitcoin,BTC,2025-10-20T00:00:00Z,108655.50525004532,45408363377.72644,2165876768810.395,1,Smart Contract Platform,btcc,"[115656.94582206, 115722.89635081, 115255.84820116, 112692.49699542, 112002.46136593, 113317.16268949, 109233.05041612, 109660.37389675, 109675.14319508, 112179.39882977, 114327.17133805, 114087.51383151, 118930.95511416, 120514.57785587, 122294.92441743, 122428.89063351, 123488.73059701, 124739.81088811, 121463.11808164, 123342.9846975, 121718.66757742, 113043.67586322, 110655.26975977, 115060.88417839, 115226.58429002, 113066.3507845, 110844.40417181, 108168.17353437, 106483.89143638, 107210.09610996]",-12.89428412914292,-6.053627408409201,NULL,-999,94802.88170431636,-0.12749122572160865,0
bitcoin_2025-10-27,bitcoin,BTC,2025-10-27T00:00:00Z,114419.22169689646,42750060282.16964,2282298627073.1055,1,Smart Contract Platform,btcc,"[109660.37389675, 109675.14319508, 112179.39882977, 114327.17133805, 114087.51383151, 118930.95511416, 120514.57785587, 122294.92441743, 122428.89063351, 123488.73059701, 124739.81088811, 121463.11808164, 123342.9846975, 121718.66757742, 113043.67586322, 110655.26975977, 115060.88417839, 115226.58429002, 113066.3507845, 110844.40417181, 108168.17353437, 106483.89143638, 107210.09610996, 108655.50525005, 110535.86301374, 108301.75462476, 107591.4605094, 110109.30522516, 111030.18337865, 111631.63726548]",-8.273693151960071,4.339623905192158,NULL,-999,89149.95970929884,-0.22084804994162122,0
bitcoin_2025-11-03,bitcoin,BTC,2025-11-03T00:00:00Z,110499.52238345638,36196258871.740746,2206951286346.512,1,Smart Contract Platform,btcc,"[122294.92441743, 122428.89063351, 123488.73059701, 124739.81088811, 121463.11808164, 123342.9846975, 121718.66757742, 113043.67586322, 110655.26975977, 115060.88417839, 115226.58429002, 113066.3507845, 110844.40417181, 108168.17353437, 106483.89143638, 107210.09610996, 108655.50525005, 110535.86301374, 108301.75462476, 107591.4605094, 110109.30522516, 111030.18337865, 111631.63726548, 114419.2216969, 114085.33123757, 112893.85203625, 110026.0876202, 108409.37992493, 109566.60661881, 110066.94174052]",-11.415993341076014,-9.645046260228174,NULL,-999,78647.02739790398,-0.28825911912105473,0
bitcoin_2025-11-10,bitcoin,BTC,2025-11-10T00:00:00Z,104610.22853607994,60194546960.33833,2088246864454.0945,1,Smart Contract Platform,btcc,"[113043.67586322, 110655.26975977, 115060.88417839, 115226.58429002, 113066.3507845, 110844.40417181, 108168.17353437, 106483.89143638, 107210.09610996, 108655.50525005, 110535.86301374, 108301.75462476, 107591.4605094, 110109.30522516, 111030.18337865, 111631.63726548, 114419.2216969, 114085.33123757, 112893.85203625, 110026.0876202, 108409.37992493, 109566.60661881, 110066.94174052, 110499.52238346, 106451.70653263, 101480.7665961, 103878.9335997, 101261.64551046, 103191.75606683, 102286.82524827]",-9.213460434810495,-7.460344210094593,NULL,-999,69245.78200906444,-0.33805916516871337,0
bitcoin_2025-11-17,bitcoin,BTC,2025-11-17T00:00:00Z,94188.27668924726,72739120446.02757,1879821625636.488,1,Smart Contract Platform,btcc,"[106483.89143638, 107210.09610996, 108655.50525005, 110535.86301374, 108301.75462476, 107591.4605094, 110109.30522516, 111030.18337865, 111631.63726548, 114419.2216969, 114085.33123757, 112893.85203625, 110026.0876202, 108409.37992493, 109566.60661881, 110066.94174052, 110499.52238346, 106451.70653263, 101480.7665961, 103878.9335997, 101261.64551046, 103191.75606683, 102286.82524827, 104610.22853608, 105951.49599988, 103112.21006199, 101633.69431606, 99480.30709081, 94772.61435799, 95380.13316661]",-17.68142162445592,-11.546924686233007,NULL,-999,69799.5509626349,-0.25893589503795045,0
bitcoin_2025-11-24,bitcoin,BTC,2025-11-24T00:00:00Z,86740.11773876166,60729919440.15148,1731240703090.288,1,Smart Contract Platform,btcc,"[111030.18337865, 111631.63726548, 114419.2216969, 114085.33123757, 112893.85203625, 110026.0876202, 108409.37992493, 109566.60661881, 110066.94174052, 110499.52238346, 106451.70653263, 101480.7665961, 103878.9335997, 101261.64551046, 103191.75606683, 102286.82524827, 104610.22853608, 105951.49599988, 103112.21006199, 101633.69431606, 99480.30709081, 94772.61435799, 95380.13316661, 94188.27668925, 92100.36452361, 92903.18008511, 91408.3573344, 86618.47155915, 85087.95256265, 84675.50764856]",-24.190956333769197,-21.876993174954194,NULL,-999,68026.03124326779,-0.21574891737933488,0
bitcoin_2025-12-01,bitcoin,BTC,2025-12-01T00:00:00Z,90359.86873169734,41014032387.06181,1804580223118.8345,1,Smart Contract Platform,btcc,"[109566.60661881, 110066.94174052, 110499.52238346, 106451.70653263, 101480.7665961, 103878.9335997, 101261.64551046, 103191.75606683, 102286.82524827, 104610.22853608, 105951.49599988, 103112.21006199, 101633.69431606, 99480.30709081, 94772.61435799, 95380.13316661, 94188.27668925, 92100.36452361, 92903.18008511, 91408.3573344, 86618.47155915, 85087.95256265, 84675.50764856, 86740.11773876, 88256.04395604, 87317.00455057, 90515.94357835, 91323.6282762, 90904.86767345, 90832.18685385]",-18.226009685245735,-17.52973691512806,NULL,-999,67017.07604771722,-0.25833141428404605,0
bitcoin_2025-12-08,bitcoin,BTC,2025-12-08T00:00:00Z,90398.44875659447,34924915303.026115,1802958541728.722,1,Smart Contract Platform,btcc,"[103191.75606683, 102286.82524827, 104610.22853608, 105951.49599988, 103112.21006199, 101633.69431606, 99480.30709081, 94772.61435799, 95380.13316661, 94188.27668925, 92100.36452361, 92903.18008511, 91408.3573344, 86618.47155915, 85087.95256265, 84675.50764856, 86740.11773876, 88256.04395604, 87317.00455057, 90515.94357835, 91323.6282762, 90904.86767345, 90832.18685385, 90359.8687317, 86303.89766361, 91320.07942506, 93428.59451478, 92119.19047832, 89264.22915486, 89227.45274823]",-14.679403151893267,-12.397605969562775,NULL,-999,67339.67440056572,-0.25507931466961853,0
bitcoin_2025-12-15,bitcoin,BTC,2025-12-15T00:00:00Z,88184.41093067056,34281959962.42461,1760354230589.3552,1,Smart Contract Platform,btcc,"[94772.61435799, 95380.13316661, 94188.27668925, 92100.36452361, 92903.18008511, 91408.3573344, 86618.47155915, 85087.95256265, 84675.50764856, 86740.11773876, 88256.04395604, 87317.00455057, 90515.94357835, 91323.6282762, 90904.86767345, 90832.18685385, 90359.8687317, 86303.89766361, 91320.07942506, 93428.59451478, 92119.19047832, 89264.22915486, 89227.45274823, 90398.44875659, 90626.03734312, 92686.10402025, 91986.58107214, 92525.86800263, 90260.54242242, 90253.11813342]",-7.544256856268994,-6.951589836318107,NULL,-999,71149.2823885419,-0.19317619023980848,0
bitcoin_2025-12-22,bitcoin,BTC,2025-12-22T00:00:00Z,88672.32967904503,22542141406.091,1769182018548.0688,1,Smart Contract Platform,btcc,"[85087.95256265, 84675.50764856, 86740.11773876, 88256.04395604, 87317.00455057, 90515.94357835, 91323.6282762, 90904.86767345, 90832.18685385, 90359.8687317, 86303.89766361, 91320.07942506, 93428.59451478, 92119.19047832, 89264.22915486, 89227.45274823, 90398.44875659, 90626.03734312, 92686.10402025, 91986.58107214, 92525.86800263, 90260.54242242, 90253.11813342, 88184.41093067, 86413.22138098, 87719.68139799, 86196.82137335, 85450.17964791, 88091.69571217, 88348.27802016]",-5.090802083067725,4.21255537175278,NULL,-999,68424.07687771624,-0.22834916906568914,0
bitcoin_2025-12-29,bitcoin,BTC,2025-12-29T00:00:00Z,87867.03943448896,17379845114.74183,1753776420254.8835,1,Smart Contract Platform,btcc,"[90904.86767345, 90832.18685385, 90359.8687317, 86303.89766361, 91320.07942506, 93428.59451478, 92119.19047832, 89264.22915486, 89227.45274823, 90398.44875659, 90626.03734312, 92686.10402025, 91986.58107214, 92525.86800263, 90260.54242242, 90253.11813342, 88184.41093067, 86413.22138098, 87719.68139799, 86196.82137335, 85450.17964791, 88091.69571217, 88348.27802016, 88672.32967905, 88489.7240415, 87496.14669239, 87589.01664997, 87192.2347367, 87303.04428037, 87852.9865523]",-5.952733324502201,-3.3417663065860803,NULL,-999,66388.84446013413,-0.2444397252096826,0
bitcoin_2026-01-05,bitcoin,BTC,2026-01-05T00:00:00Z,91879.5772256957,26083966420.127327,1834987309777.0288,1,Smart Contract Platform,btcc,"[89264.22915486, 89227.45274823, 90398.44875659, 90626.03734312, 92686.10402025, 91986.58107214, 92525.86800263, 90260.54242242, 90253.11813342, 88184.41093067, 86413.22138098, 87719.68139799, 86196.82137335, 85450.17964791, 88091.69571217, 88348.27802016, 88672.32967905, 88489.7240415, 87496.14669239, 87589.01664997, 87192.2347367, 87303.04428037, 87852.9865523, 87867.03943449, 87154.68240605, 88363.72223634, 87575.04615968, 88764.12624075, 89978.91920362, 90614.40684382]",-0.8701701329264844,2.9298948700963168,NULL,-999,67077.1500532805,-0.2699449422964778,0
bitcoin_2026-01-12,bitcoin,BTC,2026-01-12T00:00:00Z,90856.55910152226,18738794931.937737,1814830239671.1992,1,Smart Contract Platform,btcc,"[90260.54242242, 90253.11813342, 88184.41093067, 86413.22138098, 87719.68139799, 86196.82137335, 85450.17964791, 88091.69571217, 88348.27802016, 88672.32967905, 88489.7240415, 87496.14669239, 87589.01664997, 87192.2347367, 87303.04428037, 87852.9865523, 87867.03943449, 87154.68240605, 88363.72223634, 87575.04615968, 88764.12624075, 89978.91920362, 90614.40684382, 91879.5772257, 93879.94797345, 93649.63197641, 91286.03314398, 91027.66616984, 90551.71363174, 90420.29795171]",-3.2204841791991234,0.6603291572403247,NULL,-999,73021.85968305328,-0.1962951227169043,0
bitcoin_2026-01-19,bitcoin,BTC,2026-01-19T00:00:00Z,93344.2194849136,21298841865.41941,1864801600128.905,1,Smart Contract Platform,btcc,"[88091.69571217, 88348.27802016, 88672.32967905, 88489.7240415, 87496.14669239, 87589.01664997, 87192.2347367, 87303.04428037, 87852.9865523, 87867.03943449, 87154.68240605, 88363.72223634, 87575.04615968, 88764.12624075, 89978.91920362, 90614.40684382, 91879.5772257, 93879.94797345, 93649.63197641, 91286.03314398, 91027.66616984, 90551.71363174, 90420.29795171, 90856.55910152, 91200.62761512, 95429.15732243, 96898.76071082, 95593.30783681, 95523.18619825, 94802.88170432]",-3.6683041143467543,5.962564042252327,NULL,-999,75716.15083727139,-0.18885013710454002,0
bitcoin_2026-01-26,bitcoin,BTC,2026-01-26T00:00:00Z,86625.33128140382,36938952712.340645,1730823322190.6162,1,Smart Contract Platform,btcc,"[87303.04428037, 87852.9865523, 87867.03943449, 87154.68240605, 88363.72223634, 87575.04615968, 88764.12624075, 89978.91920362, 90614.40684382, 91879.5772257, 93879.94797345, 93649.63197641, 91286.03314398, 91027.66616984, 90551.71363174, 90420.29795171, 90856.55910152, 91200.62761512, 95429.15732243, 96898.76071082, 95593.30783681, 95523.18619825, 94802.88170432, 93344.21948491, 92566.01277952, 88416.88686187, 89453.9047372, 89483.65163015, 89524.84864062, 89149.9597093]",-10.60222995015938,-0.7762764798747601,NULL,-999,77634.51592192693,-0.1037896793753098,0
bitcoin_2026-02-02,bitcoin,BTC,2026-02-02T00:00:00Z,76895.58665593083,48233643712.95648,1536578056063.6562,1,Smart Contract Platform,btcc,"[89978.91920362, 90614.40684382, 91879.5772257, 93879.94797345, 93649.63197641, 91286.03314398, 91027.66616984, 90551.71363174, 90420.29795171, 90856.55910152, 91200.62761512, 95429.15732243, 96898.76071082, 95593.30783681, 95523.18619825, 94802.88170432, 93344.21948491, 92566.01277952, 88416.88686187, 89453.9047372, 89483.65163015, 89524.84864062, 89149.9597093, 86625.3312814, 88249.90141827, 89141.65035979, 89212.20824183, 84630.42066738, 84091.63017683, 78647.0273979]",-20.643374495351253,-14.540441987393283,NULL,-999,78677.4246327222,0.023172174818877567,1
bitcoin_2026-02-09,bitcoin,BTC,2026-02-09T00:00:00Z,70398.0850329669,40089087531.667786,1407004286702.8896,1,Smart Contract Platform,btcc,"[90551.71363174, 90420.29795171, 90856.55910152, 91200.62761512, 95429.15732243, 96898.76071082, 95593.30783681, 95523.18619825, 94802.88170432, 93344.21948491, 92566.01277952, 88416.88686187, 89453.9047372, 89483.65163015, 89524.84864062, 89149.9597093, 86625.3312814, 88249.90141827, 89141.65035979, 89212.20824183, 84630.42066738, 84091.63017683, 78647.0273979, 76895.58665593, 78670.58922753, 75628.04173331, 73059.17986714, 62778.21756635, 70272.52223141, 69245.78200906]",-27.348828285781856,-22.25648504095341,NULL,-999,80677.64981723971,0.14602051716973508,1
bitcoin_2026-02-16,bitcoin,BTC,2026-02-16T00:00:00Z,68778.84298479716,40162771612.068054,1374891409746.7566,1,Smart Contract Platform,btcc,"[95523.18619825, 94802.88170432, 93344.21948491, 92566.01277952, 88416.88686187, 89453.9047372, 89483.65163015, 89524.84864062, 89149.9597093, 86625.3312814, 88249.90141827, 89141.65035979, 89212.20824183, 84630.42066738, 84091.63017683, 78647.0273979, 76895.58665593, 78670.58922753, 75628.04173331, 73059.17986714, 62778.21756635, 70272.52223141, 69245.78200906, 70398.08503297, 70175.14749174, 68841.87237645, 67090.57933965, 66258.52954947, 68837.5811243, 69799.55096263]",-27.997750366016604,-27.997750366016604,NULL,-999,78132.7535126921,0.13599982381155384,1
bitcoin_2026-02-23,bitcoin,BTC,2026-02-23T00:00:00Z,65192.18870120006,21560319889.519894,1303412071350.4219,1,Smart Contract Platform,btcc,"[89524.84864062, 89149.9597093, 86625.3312814, 88249.90141827, 89141.65035979, 89212.20824183, 84630.42066738, 84091.63017683, 78647.0273979, 76895.58665593, 78670.58922753, 75628.04173331, 73059.17986714, 62778.21756635, 70272.52223141, 69245.78200906, 70398.08503297, 70175.14749174, 68841.87237645, 67090.57933965, 66258.52954947, 68837.5811243, 69799.55096263, 68778.8429848, 68859.77618747, 67559.29573332, 66426.61953459, 66976.02936411, 68002.94011063, 68026.03124327]",-27.179783388519052,-27.179783388519052,NULL,-999,76684.37097078416,0.1762815837071683,1
bitcoin_2026-03-02,bitcoin,BTC,2026-03-02T00:00:00Z,65824.42166938317,38811585997.47521,1316266670911.0593,1,Smart Contract Platform,btcc,"[84091.63017683, 78647.0273979, 76895.58665593, 78670.58922753, 75628.04173331, 73059.17986714, 62778.21756635, 70272.52223141, 69245.78200906, 70398.08503297, 70175.14749174, 68841.87237645, 67090.57933965, 66258.52954947, 68837.5811243, 69799.55096263, 68778.8429848, 68859.77618747, 67559.29573332, 66426.61953459, 66976.02936411, 68002.94011063, 68026.03124327, 65192.1887012, 64737.90196985, 64073.54894567, 67850.10521283, 67496.8416395, 65891.22197699, 67017.07604772]",-21.72298059751413,-21.72298059751413,NULL,-999,73820.30385315015,0.12147288165975789,1
bitcoin_2026-03-09,bitcoin,BTC,2026-03-09T00:00:00Z,66042.7510790264,30233312686.233253,1320834944584.2002,1,Smart Contract Platform,btcc,"[70272.52223141, 69245.78200906, 70398.08503297, 70175.14749174, 68841.87237645, 67090.57933965, 66258.52954947, 68837.5811243, 69799.55096263, 68778.8429848, 68859.77618747, 67559.29573332, 66426.61953459, 66976.02936411, 68002.94011063, 68026.03124327, 65192.1887012, 64737.90196985, 64073.54894567, 67850.10521283, 67496.8416395, 65891.22197699, 67017.07604772, 65824.42166938, 68815.93633884, 68287.46303403, 72752.30156666, 70868.21819644, 68142.88312388, 67339.67440057]",-9.222458043457104,-6.019096822017589,NULL,-999,60855.25426528331,-0.07854755789224721,0
bitcoin_2026-03-16,bitcoin,BTC,2026-03-16T00:00:00Z,72934.2940718683,24398877932.69607,1458870696938.544,1,Smart Contract Platform,btcc,"[68837.5811243, 69799.55096263, 68778.8429848, 68859.77618747, 67559.29573332, 66426.61953459, 66976.02936411, 68002.94011063, 68026.03124327, 65192.1887012, 64737.90196985, 64073.54894567, 67850.10521283, 67496.8416395, 65891.22197699, 67017.07604772, 65824.42166938, 68815.93633884, 68287.46303403, 72752.30156666, 70868.21819644, 68142.88312388, 67339.67440057, 66042.75107903, 68430.60926017, 69849.20353051, 70028.95987601, 70417.19388568, 70838.93230193, 71149.28238854]",0.25015360516178475,5.951273825519987,NULL,-999,64408.80975375945,-0.11689266930736264,0
bitcoin_2026-03-23,bitcoin,BTC,2026-03-23T00:00:00Z,67933.42948137881,25352216480.721107,1358875311053.488,1,Smart Contract Platform,btcc,"[68002.94011063, 68026.03124327, 65192.1887012, 64737.90196985, 64073.54894567, 67850.10521283, 67496.8416395, 65891.22197699, 67017.07604772, 65824.42166938, 68815.93633884, 68287.46303403, 72752.30156666, 70868.21819644, 68142.88312388, 67339.67440057, 66042.75107903, 68430.60926017, 69849.20353051, 70028.95987601, 70417.19388568, 70838.93230193, 71149.28238854, 72934.29407187, 74679.3709081, 74004.69080881, 71220.0473026, 69936.19932094, 70526.28915958, 68424.07687772]",-9.033206017526341,-0.10221709404579782,NULL,-999,64253.39869532133,-0.05417113215322378,0
bitcoin_2026-03-30,bitcoin,BTC,2026-03-30T00:00:00Z,65947.03192607871,22702400222.698208,1319528951993.3867,1,Smart Contract Platform,btcc,"[65891.22197699, 67017.07604772, 65824.42166938, 68815.93633884, 68287.46303403, 72752.30156666, 70868.21819644, 68142.88312388, 67339.67440057, 66042.75107903, 68430.60926017, 69849.20353051, 70028.95987601, 70417.19388568, 70838.93230193, 71149.28238854, 72934.29407187, 74679.3709081, 74004.69080881, 71220.0473026, 69936.19932094, 70526.28915958, 68424.07687772, 67933.42948138, 70987.25185406, 70528.86345596, 71303.58545062, 68727.21229012, 66329.88185741, 66388.84446013]",-11.693107314424722,0.08470012759993484,NULL,-999,59953.443344011124,-0.0908848875683429,0
bitcoin_2026-04-06,bitcoin,BTC,2026-04-06T00:00:00Z,69002.03847938096,23859752469.910007,1383887150218.5754,1,Smart Contract Platform,btcc,"[68142.88312388, 67339.67440057, 66042.75107903, 68430.60926017, 69849.20353051, 70028.95987601, 70417.19388568, 70838.93230193, 71149.28238854, 72934.29407187, 74679.3709081, 74004.69080881, 71220.0473026, 69936.19932094, 70526.28915958, 68424.07687772, 67933.42948138, 70987.25185406, 70528.86345596, 71303.58545062, 68727.21229012, 66329.88185741, 66388.84446013, 65947.03192608, 66691.27147787, 68107.47456405, 67959.87524726, 66887.51063938, 66822.55230312, 67077.15005328]",-7.602276719370926,1.2608145063971676,NULL,-999,63088.406753852214,-0.08570227569864985,0
bitcoin_2026-04-13,bitcoin,BTC,2026-04-13T00:00:00Z,70660.63961180339,25034828600.5945,1414271995223.8486,1,Smart Contract Platform,btcc,"[70838.93230193, 71149.28238854, 72934.29407187, 74679.3709081, 74004.69080881, 71220.0473026, 69936.19932094, 70526.28915958, 68424.07687772, 67933.42948138, 70987.25185406, 70528.86345596, 71303.58545062, 68727.21229012, 66329.88185741, 66388.84446013, 65947.03192608, 66691.27147787, 68107.47456405, 67959.87524726, 66887.51063938, 66822.55230312, 67077.15005328, 69002.03847938, 68672.24657456, 71661.76372428, 70644.79416157, 71367.80291659, 72920.25491187, 73021.85968305]",-5.381313805176746,-0.2516874327946783,NULL,-999,63791.35305345348,-0.09721517659744539,0
